start_time,end_time,activity
1323544914,1323544996,1
1323545140,1323561365,2
1323561701,1323566789,7
1323566843,1323566924,1
1323567075,1323601054,5
1323601097,1323601287,8
1323601345,1323601359,1
1323601376,1323602322,4
1323602517,1323603009,0
1323603169,1323609978,7
1323610452,1323613577,3
1323613739,1323613814,8
1323614494,1323614610,1
1323614631,1323636108,7
