start_time,end_time,activity
1353836640,1353847199,3
1353847260,1353847559,9
1353847800,1353850739,8
1353850860,1353851999,4
1353854820,1353854939,7
1353855480,1353870659,3
1353870780,1353870899,9
1353870900,1353877319,8
1353877980,1353878099,1
1353878040,1353882059,8
1353882334,1353889739,8
1353889860,1353889919,9
1353889920,1353916259,6
1353916500,1353916559,9
1353916560,1353919439,6
1353919800,1353919899,9
1353920220,1353920699,0
1353922920,1353923339,5
1353923520,1353924119,2
1353924660,1353924899,2
1353924900,1353925019,9
1353926040,1353927599,3
1353927840,1353930719,8
1353930720,1353952499,3
1353952800,1353952919,9
1353953340,1353960239,8
1353961020,1353976079,3
1353976620,1353976739,2
1353976860,1353976919,9
1353976920,1353977039,2
1353976980,1354007579,6
1354007880,1354007999,9
1354008000,1354008659,0
1354009560,1354013099,8
1354013580,1354013639,2
1354013640,1354013699,7
1354013880,1354015439,8
1354015500,1354015559,9
1354015560,1354018979,8
1354019520,1354020059,2
1354020060,1354020839,5
1354020840,1354020899,2
1354021800,1354023299,8
1354023480,1354029299,3
1354029720,1354038659,8
1354039860,1354041899,8
1354041960,1354042019,7
1354042020,1354046399,8
1354046460,1354046579,2
1354046640,1354046759,9
1354046760,1354046819,2
1354047120,1354063079,3
1354063260,1354063379,2
1354063740,1354063859,9
1354063860,1354090619,6
1354090980,1354091159,9
1354091220,1354092359,0
1354092360,1354092419,2
1354092600,1354093019,2
1354093200,1354093319,9
1354093440,1354093559,2
1354095180,1354095959,8
1354096200,1354097039,8
1354097040,1354102079,3
1354102080,1354102139,7
1354103880,1354104899,8
1354104960,1354105139,7
1354107240,1354109039,8
1354109040,1354109099,9
1354109100,1354109159,2
1354109160,1354109219,9
1354109220,1354109279,2
1354109280,1354115159,3
1354115100,1354120739,8
1354120800,1354121159,9
1354121700,1354127399,8
1354127400,1354127759,7
1354128480,1354137299,3
1354137300,1354137539,1
1354137540,1354142339,8
1354143240,1354143359,9
1354143360,1354143419,2
1354143480,1354143659,2
1354143600,1354147079,6
1354147080,1354147139,2
1354147140,1354178159,6
1354178280,1354178759,0
1354179000,1354179419,9
1354179840,1354180019,2
1354180500,1354180859,2
1354181400,1354181519,2
1354181640,1354181819,9
1354182300,1354192799,3
1354195620,1354197959,8
1354198080,1354199579,8
1354201920,1354201979,2
1354201980,1354202279,9
1354202280,1354209359,8
1354209360,1354209599,7
1354211040,1354219139,8
1354219200,1354219259,9
1354219260,1354219319,2
1354219320,1354221179,8
1354224360,1354228559,1
1354231080,1354235999,8
1354236000,1354236059,9
1354236060,1354267259,6
1354267620,1354267739,2
1354267500,1354267919,9
1354269060,1354272719,0
1354272720,1354273019,2
1354273020,1354273259,5
1354273320,1354273439,2
1354273440,1354274759,8
1354274760,1354275059,2
1354276440,1354276499,9
1354276500,1354276559,2
1354276560,1354282559,8
1354284480,1354285259,4
1354285200,1354292999,8
1354293000,1354293779,7
1354293960,1354294079,9
1354294260,1354309979,8
1354309920,1354310459,1
1354311600,1354316759,8
1354317000,1354317119,2
1354317300,1354317359,9
1354317360,1354317419,2
1354317480,1354351259,6
1354351560,1354351679,9
1354351800,1354352999,0
1354354440,1354354619,2
1354354620,1354355039,5
1354355100,1354355339,2
1354355640,1354355699,2
1354357740,1354358219,7
1354360560,1354362599,3
1354362720,1354362839,9
1354365420,1354367459,4
1354373340,1354373639,7
1354382880,1354383959,7
1354384320,1354384379,9
1354384380,1354390619,8
1354392600,1354392659,2
1354393200,1354407959,3
1354408320,1354408439,2
1354408680,1354408799,9
1354408860,1354436459,6
1354436700,1354436759,9
1354436782,1354439819,6
1354440000,1354440119,9
1354440360,1354440839,0
1354444440,1354444559,9
1354444500,1354445399,2
1354445580,1354445639,2
1354447440,1354449419,7
1354451820,1354453199,3
1354457640,1354458839,4
1354463100,1354463999,7
1354464600,1354470359,8
1354470360,1354470479,9
1354471800,1354471919,9
1354472160,1354475039,8
1354475340,1354476119,8
1354476540,1354476599,2
1354477260,1354493039,8
