start_time,end_time,location,type,place
1322746705,1322746734,5,2,3
1322747355,1322747359,5,2,3
1322746177,1322747522,3,3,3
1322748540,1322753177,8,4,4
1322753195,1322753224,11,1,0
1322753196,1322756833,0,3,0
1322756969,1322756998,6,2,2
1322761786,1322761791,6,2,2
1322762092,1322762096,5,2,3
1322762103,1322763034,8,4,4
1322764131,1322764157,11,1,0
1322764153,1322779972,8,4,4
1322779980,1322780008,0,3,0
1322780072,1322785112,8,4,4
1322785124,1322785137,0,3,0
1322785149,1322788097,8,4,4
1322788173,1322788436,0,3,0
1322788555,1322824519,1,4,1
1322824841,1322824846,0,3,0
1322824862,1322824866,2,2,0
1322824840,1322824869,11,1,0
1322824879,1322825140,9,3,0
1322825267,1322825283,4,2,3
1322825325,1322825342,5,2,3
1322825365,1322825470,7,0,3
1322825348,1322825510,10,0,3
1322825867,1322833589,8,4,4
1322833619,1322833628,5,2,3
1322833642,1322833819,7,0,3
1322834204,1322834209,5,2,3
1322834351,1322834355,5,2,3
1322833638,1322834706,3,3,3
1322835845,1322837712,8,4,4
1322837762,1322837875,0,3,0
1322837876,1322840165,8,4,4
1322840847,1322840875,11,1,0
1322840859,1322851148,8,4,4
1322851244,1322851250,5,2,3
1322851274,1322857569,8,4,4
1322858677,1322858703,11,1,0
1322858791,1322872868,8,4,4
1322873222,1322909780,1,4,1
1322909973,1322909976,2,2,0
1322909955,1322909985,11,1,0
1322909982,1322910094,0,3,0
1322910216,1322910386,9,3,0
1322910533,1322910535,0,3,0
1322910642,1322910651,4,2,3
1322910655,1322910676,5,2,3
1322910635,1322910831,10,0,3
1322910696,1322910838,7,0,3
1322911290,1322915316,8,4,4
1322915362,1322915372,0,3,0
1322915388,1322917280,8,4,4
1322917870,1322918083,0,3,0
1322918291,1322918303,6,2,2
1322930913,1322930917,6,2,2
1322931014,1322941061,8,4,4
1322941069,1322941087,6,2,2
1322941095,1322952804,8,4,4
1322952891,1322952921,11,1,0
1322952918,1322964973,8,4,4
1322965157,1322998669,1,4,1
1322999144,1322999175,11,1,0
1322999171,1322999175,2,2,0
1322999180,1322999248,0,3,0
1322999456,1322999695,9,3,0
1322999768,1322999780,5,2,3
1322999781,1322999793,4,2,3
1322999807,1322999917,10,0,3
1322999803,1322999928,7,0,3
1323000053,1323003490,8,4,4
1323003822,1323003853,11,1,0
1323004310,1323004314,6,2,2
1323012657,1323012661,6,2,2
1323012840,1323015939,8,4,4
1323016023,1323016028,5,2,3
1323016036,1323017036,8,4,4
1323017115,1323017119,0,3,0
1323018508,1323021472,8,4,4
1323021549,1323021552,0,3,0
1323021546,1323021573,11,1,0
1323021593,1323021599,5,2,3
1323021604,1323033659,8,4,4
1323033705,1323033717,0,3,0
1323033702,1323033730,11,1,0
1323033739,1323044889,8,4,4
1323045094,1323045099,0,3,0
1323045310,1323082135,1,4,1
1323082381,1323082411,11,1,0
1323082667,1323082675,0,3,0
1323082883,1323083336,9,3,0
1323083406,1323083659,8,4,4
1323083689,1323083695,4,2,3
1323083698,1323083729,5,2,3
1323083762,1323083766,5,2,3
1323083745,1323083861,10,0,3
1323083755,1323083878,7,0,3
1323084397,1323091606,8,4,4
1323091716,1323091722,0,3,0
1323092287,1323092312,6,2,2
1323093300,1323093306,6,2,2
1323093610,1323093625,4,2,3
1323093471,1323093654,5,2,3
1323094301,1323094305,5,2,3
1323093658,1323094435,7,0,3
1323094504,1323094510,5,2,3
1323094713,1323094717,5,2,3
1323093655,1323094890,3,3,3
1323095585,1323095595,5,2,3
1323095635,1323095639,4,2,3
1323096145,1323096245,0,3,0
1323096256,1323096309,11,1,0
1323096296,1323097330,8,4,4
1323099392,1323099420,11,1,0
1323099435,1323101672,8,4,4
1323101827,1323101833,6,2,2
1323107831,1323107836,6,2,2
1323108102,1323109442,8,4,4
1323109451,1323109456,5,2,3
1323109462,1323112039,8,4,4
1323112052,1323112067,0,3,0
1323112132,1323112159,11,1,0
1323112820,1323115585,8,4,4
1323115595,1323115601,0,3,0
1323115604,1323115620,0,3,0
1323115603,1323115628,11,1,0
1323115634,1323128304,8,4,4
1323128396,1323128423,11,1,0
1323128435,1323128441,0,3,0
1323128557,1323162440,1,4,1
1323166133,1323166166,11,1,0
1323166189,1323166192,0,3,0
1323166206,1323166209,2,2,0
1323166208,1323166305,0,3,0
1323166339,1323167157,9,3,0
1323167422,1323167446,4,2,3
1323167452,1323167483,5,2,3
1323167494,1323167569,7,0,3
1323167419,1323167606,10,0,3
1323167974,1323178670,8,4,4
1323178853,1323178874,4,2,3
1323179327,1323179332,5,2,3
1323178882,1323179471,7,0,3
1323179537,1323179542,5,2,3
1323179810,1323179814,5,2,3
1323178876,1323180058,3,3,3
1323181069,1323181098,8,4,4
1323181115,1323181232,0,3,0
1323181306,1323187864,8,4,4
1323188302,1323188329,11,1,0
1323188344,1323188354,0,3,0
1323188374,1323191186,8,4,4
1323191223,1323191235,0,3,0
1323191256,1323195753,8,4,4
1323195770,1323195775,5,2,3
1323195956,1323195980,0,3,0
1323196828,1323212858,8,4,4
1323212867,1323212877,0,3,0
1323212890,1323215690,8,4,4
1323215849,1323215873,11,1,0
1323215996,1323251140,1,4,1
1323251366,1323251394,11,1,0
1323251438,1323251443,2,2,0
1323251445,1323252254,0,3,0
1323252259,1323252265,2,2,0
1323252351,1323252692,9,3,0
1323252755,1323252772,4,2,3
1323252779,1323252793,5,2,3
1323252737,1323252906,10,0,3
1323252800,1323253034,7,0,3
1323253378,1323262570,8,4,4
1323263014,1323263022,4,2,3
1323263596,1323263602,5,2,3
1323263079,1323263614,7,0,3
1323263699,1323263704,5,2,3
1323263072,1323264132,3,3,3
1323264450,1323264454,4,2,3
1323264459,1323264464,5,2,3
1323265319,1323268083,8,4,4
1323268283,1323268301,0,3,0
1323268306,1323268338,11,1,0
1323268335,1323270688,8,4,4
1323270926,1323271269,0,3,0
1323271545,1323271552,6,2,2
1323277950,1323277956,6,2,2
1323278096,1323278099,0,3,0
1323278103,1323278129,11,1,0
1323278151,1323282106,8,4,4
1323282212,1323282219,6,2,2
1323282235,1323282240,5,2,3
1323282242,1323282245,4,2,3
1323282521,1323282526,5,2,3
1323286670,1323286671,4,2,3
1323286693,1323286698,5,2,3
1323286756,1323286784,11,1,0
1323286829,1323286955,8,4,4
1323287231,1323287266,6,2,2
1323287543,1323296370,8,4,4
1323296380,1323296396,0,3,0
1323296416,1323304352,8,4,4
1323304781,1323339269,1,4,1
1323339457,1323339468,0,3,0
1323339482,1323339485,2,2,0
1323339490,1323339493,0,3,0
1323339478,1323339510,11,1,0
1323339562,1323339857,9,3,0
1323339918,1323339939,4,2,3
1323339965,1323339986,5,2,3
1323339995,1323340104,7,0,3
1323339912,1323340105,10,0,3
1323339991,1323340108,3,3,3
1323340569,1323348079,8,4,4
1323349489,1323349501,0,3,0
1323349803,1323349807,6,2,2
1323357697,1323357701,6,2,2
1323357867,1323378803,8,4,4
1323378815,1323378829,0,3,0
1323378854,1323382357,8,4,4
1323382449,1323382467,0,3,0
1323382475,1323388987,8,4,4
1323389064,1323389143,0,3,0
1323389802,1323424147,1,4,1
1323424316,1323424347,11,1,0
1323424350,1323424356,2,2,0
1323424360,1323424370,0,3,0
1323424498,1323424701,9,3,0
1323424838,1323424842,4,2,3
1323424858,1323424881,5,2,3
1323424886,1323424889,3,3,3
1323424813,1323424968,10,0,3
1323424891,1323424989,7,0,3
1323425375,1323430377,8,4,4
1323430401,1323430935,0,3,0
1323431056,1323431060,6,2,2
1323444832,1323444836,6,2,2
1323445553,1323446392,8,4,4
1323446697,1323446723,11,1,0
1323446798,1323449959,8,4,4
1323449965,1323449967,0,3,0
1323450138,1323451175,8,4,4
1323451922,1323451927,6,2,2
1323452910,1323452916,6,2,2
1323453033,1323453045,5,2,3
1323454794,1323461071,8,4,4
1323461077,1323461090,0,3,0
1323461099,1323472581,8,4,4
1323472591,1323472609,0,3,0
1323472625,1323474373,8,4,4
1323474647,1323505577,1,4,1
1323506148,1323506178,11,1,0
1323506236,1323506241,2,2,0
1323506246,1323506753,0,3,0
1323506760,1323506765,2,2,0
1323506783,1323506787,0,3,0
1323506864,1323507162,9,3,0
1323507318,1323507326,4,2,3
1323507387,1323507389,4,2,3
1323507393,1323507410,5,2,3
1323507418,1323507498,7,0,3
1323507501,1323507504,3,3,3
1323507350,1323507543,10,0,3
1323507800,1323516849,8,4,4
1323517974,1323518019,0,3,0
1323518643,1323518648,6,2,2
1323533218,1323533223,6,2,2
1323533483,1323544611,8,4,4
1323544914,1323544996,0,3,0
1323545140,1323545146,6,2,2
1323561361,1323561365,6,2,2
1323561701,1323566768,8,4,4
1323566841,1323566924,0,3,0
1323567075,1323601054,1,4,1
1323601287,1323601319,11,1,0
1323601345,1323601359,0,3,0
1323601376,1323602322,9,3,0
1323602521,1323602523,4,2,3
1323602527,1323602584,5,2,3
1323602517,1323602709,10,0,3
1323602594,1323602712,7,0,3
1323603169,1323609978,8,4,4
1323610452,1323610499,4,2,3
1323610624,1323610634,4,2,3
1323610985,1323611063,4,2,3
1323611387,1323611402,4,2,3
1323610618,1323612037,3,3,3
1323612832,1323612837,5,2,3
1323613743,1323613814,11,1,0
1323614494,1323614610,0,3,0
1323614631,1323645770,8,4,4
1323646295,1323670941,1,4,1
